       "CD"       ,       "CL"       
      0.4391865059,        1.47569281
      0.4504133911,        1.56095653
      0.4475709576,       1.554489094
      0.4534814244,       1.581172689
      0.4556633743,       1.594824062
      0.4591368764,       1.609452233
      0.4630748018,       1.624327714
      0.4655731368,       1.633357739
      0.4679095741,       1.641880319
      0.4689094738,       1.645959212
      0.4692830554,       1.647163918
      0.4689542537,       1.645965581
      0.4687776743,       1.645333623
      0.4688349251,       1.645525626
        0.46897324,       1.645954387
      0.4691166633,       1.646318086
       0.469176006,       1.646313643
      0.4691672914,       1.646052749
      0.4690738054,       1.645529723
      0.4689362828,         1.6448958
      0.4687831736,       1.644244551
      0.4686332091,       1.643627795
       0.468486506,       1.643039066
      0.4683400198,       1.642463302
       0.468196391,       1.641908588
      0.4680586014,        1.64138424
       0.467928985,       1.640897381
      0.4678084157,       1.640448975
      0.4676966858,       1.640036247
      0.4675936855,       1.639657779
      0.4674995455,       1.639313004
      0.4674139116,       1.639000427
      0.4673364047,       1.638718759
      0.4672668878,       1.638467139
      0.4672046163,       1.638242454
      0.4671482321,       1.638039309
      0.4670965528,       1.637853156
      0.4670486165,       1.637680412
      0.4670027212,       1.637514649
      0.4669618191,       1.637367398
      0.4669250102,       1.637235626
       0.466892875,       1.637121291
      0.4668652051,       1.637023481
      0.4668415867,       1.636940389
      0.4668213714,       1.636869418
      0.4668037997,       1.636807893
      0.4667882811,       1.636753676
      0.4667743874,       1.636705121
       0.466761747,       1.636660838
      0.4667500463,       1.636619663
      0.4667386135,       1.636579174
      0.4667279384,       1.636541309
      0.4667175428,         1.6365042
      0.4667076207,       1.636468378
       0.466698082,       1.636433733
      0.4666889545,       1.636400487
      0.4666802896,        1.63636887
       0.466672107,       1.636338965
      0.4666643924,        1.63631074
      0.4666571233,       1.636284134
      0.4666502875,       1.636259124
      0.4666438849,       1.636235715
      0.4666377734,       1.636213405
       0.466631931,       1.636192185
      0.4666263542,       1.636172014
      0.4666210742,        1.63615291
      0.4666160766,       1.636134833
       0.466611346,       1.636117728
      0.4666068877,       1.636101607
      0.4666026986,       1.636086459
      0.4665987696,       1.636072255
      0.4665950911,       1.636058963
      0.4665916542,       1.636046547
      0.4665884508,       1.636034977
      0.4665854718,       1.636024222
      0.4665827075,       1.636014246
      0.4665801474,       1.636005012
      0.4665777801,       1.635996477
       0.466575594,       1.635988598
      0.4665735771,       1.635981331
      0.4665717176,       1.635974632
      0.4665700038,       1.635968459
      0.4665684244,       1.635962769
      0.4665669688,       1.635957526
      0.4665656268,       1.635952692
      0.4665643893,       1.635948233
      0.4665632475,       1.635944119
      0.4665621937,       1.635940321
      0.4665612208,       1.635936815
      0.4665603224,       1.635933576
      0.4665594924,       1.635930585
      0.4665587256,        1.63592782
      0.4665580169,       1.635925265
       0.466557362,       1.635922904
      0.4665567566,       1.635920721
      0.4665561971,       1.635918704
      0.4665556799,       1.635916839
      0.4665552019,       1.635915116
      0.4665547601,       1.635913523
      0.4665543518,       1.635912051
      0.4665539746,       1.635910691
       0.466553626,       1.635909435
      0.4665533039,       1.635908274
      0.4665530064,       1.635907202
      0.4665527316,       1.635906211
      0.4665524778,       1.635905297
      0.4665522434,       1.635904452
       0.466552027,       1.635903672
      0.4665518272,       1.635902952
      0.4665516426,       1.635902287
      0.4665514722,       1.635901673
      0.4665513149,       1.635901107
      0.4665511697,       1.635900583
      0.4665510356,       1.635900101
      0.4665509119,       1.635899655
      0.4665507976,       1.635899243
      0.4665506921,       1.635898863
      0.4665505947,       1.635898512
      0.4665505049,       1.635898189
      0.4665504219,        1.63589789
      0.4665503453,       1.635897614
      0.4665502746,        1.63589736
      0.4665502093,       1.635897125
      0.4665501491,       1.635896908
      0.4665500935,       1.635896708
      0.4665500422,       1.635896523
      0.4665499949,       1.635896353
      0.4665499512,       1.635896195
      0.4665499109,        1.63589605
      0.4665498737,       1.635895916
      0.4665498393,       1.635895793
      0.4665498077,       1.635895679
      0.4665497784,       1.635895574
      0.4665497515,       1.635895477
      0.4665497266,       1.635895387
      0.4665497037,       1.635895305
      0.4665496825,       1.635895228
       0.466549663,       1.635895158
       0.466549645,       1.635895093
      0.4665496283,       1.635895034
       0.466549613,       1.635894979
      0.4665495989,       1.635894928
      0.4665495859,       1.635894881
      0.4665495738,       1.635894838
      0.4665495628,       1.635894798
      0.4665495525,       1.635894761
      0.4665495431,       1.635894727
      0.4665495344,       1.635894696
      0.4665495264,       1.635894667
       0.466549519,       1.635894641
      0.4665495122,       1.635894616
      0.4665495059,       1.635894594
      0.4665495001,       1.635894573
      0.4665494948,       1.635894554
      0.4665494899,       1.635894536
      0.4665494854,        1.63589452
      0.4665494812,       1.635894505
      0.4665494773,       1.635894491
      0.4665494738,       1.635894478
      0.4665494705,       1.635894466
      0.4665494675,       1.635894455
      0.4665494647,       1.635894445
      0.4665494621,       1.635894436
      0.4665494598,       1.635894428
      0.4665494576,        1.63589442
      0.4665494556,       1.635894413
      0.4665494537,       1.635894406
       0.466549452,         1.6358944
      0.4665494504,       1.635894394
       0.466549449,       1.635894389
      0.4665494477,       1.635894384
      0.4665494464,        1.63589438
      0.4665494453,       1.635894376
      0.4665494443,       1.635894372
      0.4665494433,       1.635894369
      0.4665494424,       1.635894365
      0.4665494416,       1.635894362
      0.4665494408,        1.63589436
      0.4665494401,       1.635894357
      0.4665494395,       1.635894355
      0.4665494389,       1.635894353
      0.4665494384,       1.635894351
