"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.555580386779869e+00, 2.684058801998091e+02, 3.582412883647264e+01, 3.507024531166921e+05, 1.308536208407626e+05, 2.930377904222295e+02, 5.072512983095159e-01, 6.505018513791051e-01, 1.725438829653947e+02, 2.302942949199199e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.505841231380988e+00, 2.778207364759305e+02, 3.980621680669719e+01, 3.404430440289313e+05, 1.257154378606950e+05, 2.908303816938408e+02, 5.451668810293026e-01, 5.373100582614072e-01, 1.844953708839176e+02, 2.643453770368037e+01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.485651794524190e+00, 2.872985201875478e+02, 4.138597050557988e+01, 3.366076866137038e+05, 1.233008155014231e+05, 2.891207504073197e+02, 5.731757298703088e-01, 4.841170451654669e-01, 1.933821378915784e+02, 2.785711339502307e+01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.468765674298145e+00, 2.938169821222197e+02, 4.231696918731512e+01, 3.333429958572049e+05, 1.213381236903895e+05, 2.877896068756292e+02, 5.942869922229054e-01, 4.408798528953320e-01, 2.000434700127515e+02, 2.881124601957793e+01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.454758518758023e+00, 2.987655354696945e+02, 4.299488699827407e+01, 3.306219124042764e+05, 1.197230564928891e+05, 2.866930942834267e+02, 6.112702171052518e-01, 4.053006699818710e-01, 2.053712225206702e+02, 2.955465559671050e+01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.442905252556887e+00, 3.029176815939509e+02, 4.347142265341117e+01, 3.283258513434575e+05, 1.183497395944152e+05, 2.857326293389960e+02, 6.258708581712068e-01, 3.750471342747688e-01, 2.099359476702773e+02, 3.012770421091617e+01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.432139658001876e+00, 3.063448732257033e+02, 4.379384221697471e+01, 3.262261622696903e+05, 1.171167577512139e+05, 2.848813476144180e+02, 6.386124315706451e-01, 3.478851148887478e-01, 2.139071224751336e+02, 3.057930975675652e+01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.422335390813878e+00, 3.093733659847090e+02, 4.402487216278530e+01, 3.243134232308384e+05, 1.159944209407258e+05, 2.840962035144124e+02, 6.502085867002080e-01, 3.231605543672638e-01, 2.175108402580644e+02, 3.095252529545350e+01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.413206216737828e+00, 3.120558279250847e+02, 4.417562269716022e+01, 3.225279980036658e+05, 1.149537567410190e+05, 2.833661534183557e+02, 6.608647038086873e-01, 3.002352036634904e-01, 2.208140781077359e+02, 3.125914829269075e+01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.404647341341733e+00, 3.144857809068058e+02, 4.425939904381603e+01, 3.208522424752002e+05, 1.139799684028461e+05, 2.826777175773157e+02, 6.708076079439645e-01, 2.787830972393925e-01, 2.238894928647399e+02, 3.150926053904677e+01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.396538660644582e+00, 3.167019902925217e+02, 4.428338628149119e+01, 3.192621276585636e+05, 1.130599046917151e+05, 2.820239542078539e+02, 6.801591888032561e-01, 2.585145194854585e-01, 2.267763859443359e+02, 3.170938802442597e+01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.388801282873085e+00, 3.187430010239200e+02, 4.425582118695414e+01, 3.177426823178738e+05, 1.121841145813111e+05, 2.813983851933976e+02, 6.890285295275439e-01, 2.392212686658715e-01, 2.295094373505472e+02, 3.186620125767728e+01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.381384426081717e+00, 3.206386933297710e+02, 4.418077605983785e+01, 3.162845270373779e+05, 1.113462570687972e+05, 2.807963205122927e+02, 6.974947519230253e-01, 2.207636554227282e-01, 2.321140207431319e+02, 3.198296956710029e+01
