"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.007026141,       1.377701993,       1.525453958,        4.49002856
          0,           0,           1,        -1.1038524,       1.359520406,       1.343360462,       4.394513869
          0,           0,           2,        -1.1102318,       1.319795244,       1.306655492,        4.39185504
          0,           0,           3,      -1.185069168,       1.184082317,       1.186643837,       4.322390554
          0,           0,           4,      -1.245728856,        1.15147197,       1.123112244,       4.264644448
          0,           0,           5,      -1.291505859,       1.077661499,       1.029602441,       4.220860487
          0,           0,           6,      -1.348544954,       0.974181524,      0.9568578228,       4.167163207
          0,           0,           7,      -1.411153292,      0.9082979576,      0.8813898819,       4.105826456
          0,           0,           8,      -1.474647735,      0.8748935323,      0.8071039438,       4.042438117
          0,           0,           9,      -1.538626792,      0.8317379549,      0.7314366683,       3.978532076
          0,           0,          10,       -1.61646676,      0.7396701903,      0.6680057247,       3.901542365
          0,           0,          11,      -1.695212819,      0.6229535948,      0.5940229072,       3.823021704
          0,           0,          12,      -1.769334739,      0.5203361901,      0.5070125594,       3.748661267
          0,           0,          13,      -1.846243984,      0.4382559545,      0.4256084566,       3.671981925
          0,           0,          14,      -1.922875914,      0.3732921338,      0.3486292838,        3.59574244
          0,           0,          15,      -1.997715968,       0.315639383,      0.2685182132,       3.521370472
          0,           0,          16,      -2.077459308,      0.2485453099,      0.1880057305,       3.442470379
          0,           0,          17,      -2.164903813,      0.1656934093,      0.1078965282,        3.35601862
          0,           0,          18,      -2.256440545,     0.07411424769,     0.02317194023,       3.265041898
          0,           0,          19,      -2.345248882,    -0.01416869979,    -0.06856832014,       3.176009849
          0,           0,          20,      -2.428538812,    -0.09417525142,     -0.1633781249,       3.092162777
          0,           0,          21,      -2.507346954,     -0.1681696193,     -0.2540583266,        3.01289725
          0,           0,          22,      -2.580350282,     -0.2390711732,     -0.3368531804,       2.939644976
          0,           0,          23,      -2.646502154,      -0.304539318,     -0.4145197182,       2.873448177
          0,           0,          24,      -2.705319529,     -0.3623502648,     -0.4921349549,       2.814747968
          0,           0,          25,      -2.758610345,     -0.4127859677,     -0.5731419577,        2.76180537
          0,           0,          26,      -2.809171022,     -0.4583422614,     -0.6567359467,       2.711866084
          0,           0,          27,      -2.859523346,      -0.501944829,      -0.740482356,       2.662352445
          0,           0,          28,      -2.911701808,     -0.5452000045,     -0.8217760982,       2.611123464
          0,           0,          29,      -2.965337449,     -0.5895780731,     -0.8999385262,       2.558443925
