"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     0.06355493334,       3.491902105,       3.207518609,       6.824213132
          0,           0,           1,       1.076287612,       4.606286177,       3.908697045,       7.847385793
          0,           0,           2,       1.171677529,       4.696097005,       3.925915884,        8.01229145
          0,           0,           3,       1.076511231,       4.602814544,       3.796689768,       7.977497635
          0,           0,           4,      0.9936252901,        4.52293709,       3.712831875,        7.91426109
          0,           0,           5,      0.9452100127,        4.47435644,       3.630899039,       7.856063221
          0,           0,           6,      0.8975198609,       4.425310093,       3.553235185,       7.805453666
          0,           0,           7,      0.8851175048,       4.411136166,       3.488240947,       7.780774497
          0,           0,           8,      0.8473547719,       4.372164325,       3.440156069,       7.748821043
          0,           0,           9,       0.841534046,       4.367647135,       3.399199645,       7.734951566
          0,           0,          10,      0.8557723607,       4.381425407,       3.403088668,       7.731270257
          0,           0,          11,      0.8747198298,       4.400526706,       3.460182732,       7.741683874
          0,           0,          12,      0.9080424942,       4.433672715,       3.505860724,       7.760471361
          0,           0,          13,      0.9809558863,       4.505351053,       3.565485409,       7.813076265
          0,           0,          14,       1.144515996,       4.669600622,       3.643032327,       7.959586028
          0,           0,          15,       1.138367832,       4.669184454,       3.623494525,       7.986216517
          0,           0,          16,       1.073848039,       4.604665143,       3.616898319,       7.947608735
          0,           0,          17,       1.044557374,       4.575559335,       3.588586523,       7.920131706
          0,           0,          18,      0.9704486782,       4.502445023,       3.562166132,       7.861320171
          0,           0,          19,      0.9230243885,       4.451071765,       3.597461696,       7.790062615
          0,           0,          20,       0.976490462,       4.505028669,       3.634761474,       7.799833077
          0,           0,          21,       1.007088475,         4.5354947,       3.694325098,        7.83147235
          0,           0,          22,      0.9067193532,       4.437337317,       3.656632561,       7.749891318
          0,           0,          23,      0.8691671987,       4.403201684,       3.575110898,        7.73604326
          0,           0,          24,      0.7975004255,       4.329492121,       3.521176486,       7.686338916
          0,           0,          25,      0.8166646141,       4.345913748,       3.464935041,       7.684259669
          0,           0,          26,      0.8183012192,       4.345795233,       3.430404635,       7.680072281
          0,           0,          27,      0.8546805403,       4.381244633,       3.449032953,       7.693082762
          0,           0,          28,      0.9675974779,       4.493448572,       3.504793941,       7.782711142
          0,           0,          29,       1.087334762,       4.613423531,       3.572245307,       7.907639828
          0,           0,          30,       1.170626625,       4.696337454,       3.596681477,       8.004693993
          0,           0,          31,       1.203530935,       4.730196087,       3.580689745,       8.057577407
          0,           0,          32,       1.144499973,       4.672116893,       3.534793765,       8.029997395
          0,           0,          33,       1.029759425,       4.558174989,       3.493711534,        7.94115749
          0,           0,          34,      0.9187107456,       4.447478125,        3.52201798,       7.824247092
          0,           0,          35,      0.9518944451,       4.476378764,       3.626539319,       7.779750945
          0,           0,          36,       1.063664634,       4.589219446,       3.713823877,       7.848794912
          0,           0,          37,        1.03039655,       4.559307304,       3.701547808,       7.863995993
          0,           0,          38,      0.9021064966,       4.435265423,       3.625672894,       7.778563543
          0,           0,          39,      0.8453780295,       4.380334836,       3.554317509,       7.732434551
          0,           0,          40,      0.8426018861,       4.373926723,       3.512949839,       7.714330931
          0,           0,          41,      0.8313257434,       4.360557916,       3.491420481,       7.691711448
          0,           0,          42,      0.8681607544,       4.395013005,       3.479079519,        7.70482298
          0,           0,          43,      0.9139177318,       4.441197435,        3.48252704,       7.735932799
          0,           0,          44,      0.9308408958,       4.460212146,        3.49132858,       7.765949593
          0,           0,          45,      0.9594546807,       4.486775756,       3.514517731,       7.797387487
          0,           0,          46,      0.9950763317,       4.522298283,       3.519252501,       7.831747048
          0,           0,          47,       1.020866713,       4.546976159,       3.520338102,       7.863985773
          0,           0,          48,      0.9836939709,       4.511741065,       3.499710612,       7.839647171
          0,           0,          49,      0.9480052724,       4.474354937,        3.56351434,       7.799683676
          0,           0,          50,      0.9198939108,       4.446749514,       3.583297223,       7.745083945
          0,           0,          51,      0.9313985812,        4.46050984,       3.567051973,       7.759150746
          0,           0,          52,      0.9413813615,       4.470010302,       3.532313356,       7.766721877
          0,           0,          53,      0.9767145602,       4.504825372,       3.569389696,       7.798263767
          0,           0,          54,       1.034043254,       4.564296967,       3.541300351,       7.857936278
          0,           0,          55,       1.029514988,        4.56110533,       3.536645277,       7.879358906
          0,           0,          56,      0.9719150596,       4.502693281,       3.563895614,       7.835023674
          0,           0,          57,      0.9520538077,       4.483032637,       3.536772265,       7.807165414
          0,           0,          58,       0.960600168,       4.492043792,       3.514989076,       7.807057702
          0,           0,          59,       0.903536552,       4.436926412,       3.485879809,       7.763272806
          0,           0,          60,      0.9006921495,        4.43190208,       3.521740967,       7.746711021
          0,           0,          61,      0.8988511644,       4.427439071,       3.543612043,       7.722919928
          0,           0,          62,      0.9087019448,       4.436135045,       3.560864194,       7.724749485
          0,           0,          63,      0.9162169143,       4.443550061,       3.564147327,       7.735961048
          0,           0,          64,      0.8924618566,       4.422164388,       3.546265912,       7.734494975
          0,           0,          65,      0.9153514766,       4.443802479,       3.502930877,       7.753410278
          0,           0,          66,      0.9181544034,       4.450671051,       3.473424724,       7.766764359
          0,           0,          67,      0.9346593898,        4.46550222,       3.479975358,       7.779712096
          0,           0,          68,      0.9715881999,       4.502723959,        3.47334609,       7.808169282
          0,           0,          69,       1.008479799,       4.539191278,       3.517615458,        7.84669361
          0,           0,          70,       1.027697608,       4.557100845,       3.555551688,       7.865893961
          0,           0,          71,       1.014317289,       4.546903718,       3.533204395,       7.857336496
          0,           0,          72,      0.9586442498,       4.493047741,       3.576893265,       7.817052497
          0,           0,          73,      0.9708593111,       4.503553974,       3.593008249,       7.790759333
          0,           0,          74,      0.9376374265,       4.472237128,       3.554620164,       7.770325705
          0,           0,          75,      0.8841126539,       4.412093912,       3.567656623,       7.703774435
          0,           0,          76,      0.8803760517,        4.41152073,       3.523986277,       7.706358978
          0,           0,          77,      0.8277504789,        4.35673112,       3.471043101,       7.666735226
          0,           0,          78,      0.8199423013,        4.34825158,       3.467760491,       7.659300058
          0,           0,          79,      0.8714378092,        4.39792658,       3.462941641,       7.685205018
          0,           0,          80,      0.9472987871,       4.476789038,       3.507480823,       7.769173155
          0,           0,          81,       1.012854523,       4.539725535,       3.547242065,        7.82813209
          0,           0,          82,       1.025265962,       4.555234827,       3.516428749,       7.869567053
          0,           0,          83,      0.9815317183,       4.509764407,       3.555535071,       7.837544324
          0,           0,          84,       1.020379221,       4.548021734,       3.518669453,       7.848257493
          0,           0,          85,       1.020864679,       4.551678458,       3.525560993,        7.86498778
          0,           0,          86,      0.9887137512,       4.518423634,       3.558157549,       7.842058006
          0,           0,          87,       1.005702212,         4.5344531,        3.56444791,       7.842636437
          0,           0,          88,       1.016758623,       4.545920896,       3.556420684,       7.856790575
          0,           0,          89,       1.029628748,       4.559129696,       3.556971317,       7.869613632
          0,           0,          90,       1.026450156,       4.557021596,       3.576754286,       7.869003563
          0,           0,          91,       1.019090724,       4.551464536,        3.55313621,       7.853819345
          0,           0,          92,       1.014544777,       4.548260695,       3.532847601,       7.863602327
          0,           0,          93,       0.982156797,       4.513088189,       3.583981534,       7.825246644
