"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 9.997500181200000e-01, -3.632896519016437e-05, 2.582992844711617e-01, 7.353390654734587e+02, 1.207376045829154e+02, 1.370283371740582e+06, 1.181461410760371e+05, 1.593406862796108e+03, 3.605196003586184e+00, 2.371596500093344e-03, 2.846849022361721e+03, 4.674329812028393e+02
1, 9.990000128750000e-01, -1.452537504052920e-04, 2.655672013897240e-01, 7.571796695400246e+02, 1.118471065871474e+02, 1.402349012390651e+06, 1.197474515947149e+05, 1.570804685877697e+03, 3.627452501278236e+00, 2.597363729824803e-03, 2.851179157582987e+03, 4.211631029805145e+02
2, 9.977599978450000e-01, -3.251111630156300e-04, 2.660889783615170e-01, 7.585105965619110e+02, 1.099737127444815e+02, 1.406668507921263e+06, 1.211364940653049e+05, 1.585909714479640e+03, 3.607979323236556e+00, 2.793203491636522e-03, 2.850590059131928e+03, 4.132967604357806e+02
3, 9.960200190539999e-01, -5.769983605901485e-04, 2.702940212835775e-01, 7.747412170393636e+02, 1.125116099756404e+02, 1.428779846992107e+06, 1.180185075707467e+05, 1.521051869322702e+03, 3.704515579140754e+00, 2.353601574952832e-03, 2.866290617011273e+03, 4.162563768201126e+02
4, 9.937800168990000e-01, -9.004365425509819e-04, 2.715059036050692e-01, 7.795525512375904e+02, 1.124113609863838e+02, 1.437648299593553e+06, 1.180979897278649e+05, 1.515282379629734e+03, 3.717401387771485e+00, 2.364807687831222e-03, 2.871217682144852e+03, 4.140291591960986e+02
5, 9.910500049590000e-01, -1.293363843462116e-03, 2.704062759490801e-01, 7.761514186628634e+02, 1.117386258498522e+02, 1.433849791680913e+06, 1.187453354142149e+05, 1.529784079137005e+03, 3.698455058959914e+00, 2.456076333469380e-03, 2.870315845809065e+03, 4.132249721559479e+02
6, 9.878399968150000e-01, -1.753609743384430e-03, 2.709670499706499e-01, 7.774093893463737e+02, 1.115606195039545e+02, 1.437730595009443e+06, 1.198257171963075e+05, 1.540507791440799e+03, 3.683653934132440e+00, 2.608398321709837e-03, 2.869018168189009e+03, 4.117128614569128e+02
7, 9.841300249100000e-01, -2.283176811071472e-03, 2.710344037486941e-01, 7.757638482175685e+02, 1.110987378065881e+02, 1.434868401431715e+06, 1.207558326713084e+05, 1.552079778613454e+03, 3.661068182188246e+00, 2.739534407854271e-03, 2.862233862151554e+03, 4.099064040209446e+02
8, 9.799500107769999e-01, -2.876826092032643e-03, 2.725207165157980e-01, 7.799241940835585e+02, 1.112342832744956e+02, 1.442591050101238e+06, 1.215445791062668e+05, 1.553697322229094e+03, 3.658419374185637e+00, 2.850739009025669e-03, 2.861889562213691e+03, 4.081681741360288e+02
9, 9.752799868580000e-01, -3.536324145770189e-03, 2.739581901507430e-01, 7.843062153709556e+02, 1.111570374749033e+02, 1.451411441868381e+06, 1.224712260032573e+05, 1.557328108115383e+03, 3.654945838263727e+00, 2.981386063692824e-03, 2.862868290009502e+03, 4.057445313598407e+02
