"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.02685981,       1.340378673,       1.500642902,       4.463888194
          0,           0,           1,      -1.169121685,       1.280902016,       1.274448927,        4.32269536
          0,           0,           2,      -1.236202625,       1.201177838,       1.195942401,       4.259599917
          0,           0,           3,      -1.327200515,       1.093834974,       1.073361983,       4.172395382
          0,           0,           4,      -1.419001017,       1.004506752,      0.9770274753,       4.083131046
          0,           0,           5,      -1.513906712,      0.8626234514,      0.8343236431,       3.991317881
          0,           0,           6,      -1.585547119,      0.7978786309,      0.7601785813,       3.922550442
          0,           0,           7,      -1.658107619,      0.7386943255,      0.6707016903,       3.851072277
          0,           0,           8,      -1.736284542,      0.6605973201,      0.5491198398,       3.773036677
          0,           0,           9,      -1.826664995,      0.5583475877,      0.4513284887,        3.68353519
          0,           0,          10,      -1.904466829,      0.4680689785,      0.3613446582,       3.605846171
          0,           0,          11,      -1.983397486,      0.3842536371,      0.2729708021,       3.527445184
          0,           0,          12,      -2.073812632,      0.2940771143,      0.1872005532,       3.437932032
          0,           0,          13,      -2.165783493,      0.2103033067,     0.09443268084,       3.345588835
          0,           0,          14,       -2.25656195,      0.1340629259,    0.007437835248,       3.253565387
          0,           0,          15,      -2.345806243,     0.05712136249,    -0.07015186172,       3.163649847
          0,           0,          16,      -2.431968757,    -0.02110351462,     -0.1523325965,       3.077623297
          0,           0,          17,      -2.516959032,    -0.09789853781,     -0.2423907851,       2.992823606
          0,           0,          18,      -2.601486491,     -0.1713174218,     -0.3318270925,       2.907901376
          0,           0,          19,      -2.682114074,     -0.2389377912,     -0.4141766205,       2.826456726
          0,           0,          20,      -2.755235215,     -0.2991340209,     -0.4894605511,       2.752828781
          0,           0,          21,       -2.81881154,     -0.3530908317,     -0.5597268753,       2.689464297
          0,           0,          22,      -2.869702064,     -0.4034146544,     -0.6263139466,       2.639332757
          0,           0,          23,      -2.905676441,     -0.4514896454,     -0.6899253578,       2.604476443
          0,           0,          24,      -2.929805419,     -0.4971505643,     -0.7503613856,       2.581767484
          0,           0,          25,      -2.948658947,     -0.5401348024,     -0.8065249746,       2.564460607
          0,           0,          26,      -2.966642348,     -0.5800388103,     -0.8572078754,        2.54786656
          0,           0,          27,      -2.984544475,     -0.6162806482,     -0.9021402268,       2.531038632
          0,           0,          28,      -3.001850419,     -0.6484619789,     -0.9420981012,        2.51449941
          0,           0,          29,        -3.0187041,      -0.677051013,     -0.9770492033,       2.498261723
          0,           0,          30,      -3.036537572,     -0.7042109207,      -1.010194121,         2.4810473
          0,           0,          31,      -3.056306731,     -0.7312817954,      -1.042586771,       2.461920098
          0,           0,          32,      -3.077369088,     -0.7588478081,      -1.073486744,       2.441444675
          0,           0,          33,      -3.099819611,     -0.7869201839,      -1.104464794,       2.419478659
          0,           0,          34,      -3.123494296,     -0.8152342152,      -1.136791571,       2.396280879
          0,           0,          35,      -3.148706421,      -0.843889064,      -1.170358789,       2.371574573
          0,           0,          36,      -3.175870652,     -0.8732027605,      -1.204788569,       2.344939518
          0,           0,          37,      -3.205329442,     -0.9036226319,      -1.240423352,        2.31601458
          0,           0,          38,      -3.236763241,     -0.9350388667,      -1.276601398,       2.285066482
          0,           0,          39,      -3.271729905,     -0.9669323115,      -1.313941866,       2.250629596
          0,           0,          40,      -3.308538446,     -0.9994997454,      -1.350956993,       2.214161983
          0,           0,          41,      -3.344592771,      -1.033988618,      -1.385376983,       2.178233678
          0,           0,          42,      -3.379806694,      -1.069393479,      -1.418881842,       2.143121828
          0,           0,          43,      -3.414599136,      -1.105328699,      -1.452887519,       2.108444541
          0,           0,          44,       -3.44967974,      -1.141882317,      -1.487731999,       2.073511859
          0,           0,          45,      -3.485387093,      -1.178894083,      -1.523080143,       2.037965992
          0,           0,          46,      -3.521896029,      -1.216304996,      -1.558340581,       2.001618361
          0,           0,          47,      -3.559330841,      -1.254241819,      -1.593300165,       1.964340676
          0,           0,          48,      -3.597840136,      -1.292897176,      -1.628266579,       1.925986594
          0,           0,          49,      -3.637605413,      -1.332429403,      -1.663703932,       1.886378565
          0,           0,          50,      -3.678845901,      -1.372948408,      -1.700149959,        1.84530208
          0,           0,          51,      -3.721813145,       -1.41450841,      -1.737941831,       1.802510963
          0,           0,          52,      -3.766712793,      -1.457145564,      -1.777299508,        1.75779866
          0,           0,          53,      -3.813646843,      -1.500908405,      -1.818390812,       1.711054739
          0,           0,          54,      -3.862569192,      -1.545837293,      -1.861392575,       1.662314849
          0,           0,          55,      -3.913273795,       -1.59193057,      -1.906138798,       1.611772139
          0,           0,          56,      -3.965348015,      -1.639134611,      -1.952436367,       1.559819881
          0,           0,          57,      -4.018230707,      -1.687303768,       -2.00000562,         1.5070024
          0,           0,          58,      -4.071280648,      -1.736188339,      -2.048342031,       1.453947343
          0,           0,          59,      -4.123880898,      -1.785469261,      -2.096797185,       1.401265355
          0,           0,          60,       -4.17551937,      -1.834789118,        -2.1447248,       1.349470004
          0,           0,          61,      -4.225856058,      -1.883836775,        -2.1915583,       1.298908591
          0,           0,          62,      -4.274784701,      -1.932369486,      -2.236806056,       1.249704487
          0,           0,          63,      -4.322404654,      -1.980221339,      -2.280159386,       1.201779985
          0,           0,          64,      -4.368915567,      -2.027329061,      -2.321702336,       1.154949077
          0,           0,          65,      -4.414544907,       -2.07367051,      -2.361420837,       1.108993412
          0,           0,          66,      -4.459525829,      -2.119282271,      -2.399632641,       1.063688214
          0,           0,          67,      -4.504061471,      -2.164246451,      -2.436883464,       1.018834019
          0,           0,          68,      -4.548341434,      -2.208636678,      -2.473645177,      0.9742443693
          0,           0,          69,      -4.592449202,      -2.252529398,      -2.510481751,      0.9298341564
          0,           0,          70,      -4.636493479,      -2.295984731,      -2.547747318,      0.8854956923
          0,           0,          71,      -4.680575881,      -2.339076512,      -2.585616915,      0.8411246865
          0,           0,          72,      -4.724798088,      -2.381923343,      -2.624390314,      0.7966225744
          0,           0,          73,      -4.769256979,      -2.424615735,       -2.66424498,      0.7518922453
          0,           0,          74,       -4.81403505,      -2.467195943,      -2.705115286,      0.7068512919
          0,           0,          75,      -4.859095723,      -2.509731453,      -2.746979234,      0.6615277298
          0,           0,          76,      -4.904331358,      -2.552246736,      -2.789587283,      0.6160219284
          0,           0,          77,      -4.949568972,      -2.594746504,      -2.832781746,      0.5705045309
          0,           0,          78,      -4.994612678,       -2.63721022,      -2.876341493,      0.5251760374
          0,           0,          79,       -5.03927017,      -2.679605276,       -2.92002244,      0.4802334616
          0,           0,          80,      -5.083336327,       -2.72188231,      -2.963674808,       0.435888773
          0,           0,          81,      -5.126728218,      -2.763996875,      -3.007139589,      0.3922422764
          0,           0,          82,      -5.169443492,      -2.805927344,      -3.050234719,      0.3493082199
          0,           0,          83,       -5.21151271,       -2.84769033,      -3.092903261,      0.3070596577
          0,           0,          84,      -5.253020888,      -2.889323055,      -3.135212543,      0.2654164785
          0,           0,          85,      -5.294103756,      -2.930824532,      -3.177153805,       0.224244765
          0,           0,          86,      -5.334996556,      -2.972214604,      -3.218734792,      0.1833089223
          0,           0,          87,      -5.375803656,      -3.013539482,      -3.259982012,      0.1424879465
          0,           0,          88,      -5.416604055,      -3.054839483,      -3.300829963,      0.1016941709
          0,           0,          89,      -5.457450843,      -3.096144647,      -3.341263573,     0.06086814074
          0,           0,          90,      -5.498340705,      -3.137474863,      -3.381243146,     0.02000789313
          0,           0,          91,      -5.539206366,      -3.178830008,       -3.42076823,    -0.02082499629
          0,           0,          92,      -5.579864897,      -3.220186633,       -3.45983308,    -0.06145754878
          0,           0,          93,      -5.620094376,      -3.261499912,         -3.498292,     -0.1016689013
          0,           0,          94,       -5.65965759,      -3.302721635,      -3.536051915,     -0.1412166502
          0,           0,          95,      -5.698315467,      -3.343788469,      -3.573049242,     -0.1798541704
          0,           0,          96,       -5.73585766,      -3.384623846,      -3.609229628,     -0.2173619746
          0,           0,          97,      -5.772101078,      -3.425138481,      -3.644529519,     -0.2535482726
          0,           0,          98,      -5.806996629,      -3.465251328,      -3.678926792,     -0.2883535799
          0,           0,          99,      -5.840584619,      -3.504891856,      -3.712383728,     -0.3218142292
          0,           0,         100,       -5.87293066,      -3.544031099,      -3.745011685,     -0.3539992668
          0,           0,         101,      -5.904178281,      -3.582655609,      -3.776911132,     -0.3850530361
          0,           0,         102,      -5.934522384,        -3.6207737,      -3.808150356,     -0.4151745605
          0,           0,         103,      -5.964160892,      -3.658408756,      -3.838793812,     -0.4445721417
          0,           0,         104,      -5.993283465,      -3.695606009,       -3.86889225,     -0.4734463789
          0,           0,         105,        -6.0220581,      -3.732434875,      -3.898496379,     -0.5019750839
          0,           0,         106,        -6.0506216,      -3.768979522,      -3.927664624,     -0.5303034705
          0,           0,         107,      -6.079078882,      -3.805326534,      -3.956460463,     -0.5585431875
          0,           0,         108,      -6.107505507,      -3.841556086,      -3.984949028,     -0.5867749008
          0,           0,         109,      -6.135951658,      -3.877736791,      -4.013196567,     -0.6150525168
          0,           0,         110,      -6.164447294,      -3.913923162,      -4.041270629,     -0.6434084739
          0,           0,         111,      -6.193007618,      -3.950154739,       -4.06923951,     -0.6718592677
          0,           0,         112,      -6.221638129,      -3.986456242,      -4.097171203,     -0.7004105785
          0,           0,         113,       -6.25033882,      -4.022838295,      -4.125132313,     -0.7290616364
          0,           0,         114,       -6.27910739,      -4.059298402,      -4.153187002,     -0.7578086353
          0,           0,         115,      -6.307941434,      -4.095822052,       -4.18139593,     -0.7866471323
          0,           0,         116,      -6.336839736,       -4.13238383,      -4.209815156,      -0.815573519
          0,           0,         117,      -6.365802867,      -4.168948628,      -4.238495125,     -0.8445857652
          0,           0,         118,      -6.394833344,      -4.205473014,      -4.267479788,     -0.8736836772
          0,           0,         119,      -6.423935529,      -4.241906757,      -4.296805936,     -0.9028688775
          0,           0,         120,      -6.453115425,      -4.278194657,      -4.326502696,     -0.9321446407
          0,           0,         121,      -6.482380392,      -4.314278533,       -4.35659116,     -0.9615156471
          0,           0,         122,      -6.511738823,      -4.350099427,      -4.387084031,     -0.9909876755
          0,           0,         123,      -6.541199729,      -4.385599906,      -4.417985256,      -1.020567209
          0,           0,         124,        -6.5707722,      -4.420726379,      -4.449289605,      -1.050260916
          0,           0,         125,      -6.600464727,      -4.455431252,      -4.480982186,      -1.080074981
          0,           0,         126,       -6.63028442,      -4.489674691,      -4.513037924,       -1.11001434
          0,           0,         127,      -6.660236201,      -4.523425907,      -4.545420994,      -1.140081864
          0,           0,         128,      -6.690322054,      -4.556663893,       -4.57808426,      -1.170277617
          0,           0,         129,      -6.720540371,      -4.589377601,      -4.610968764,      -1.200598187
          0,           0,         130,      -6.750885349,      -4.621565691,      -4.644003304,      -1.231036093
          0,           0,         131,      -6.781346399,      -4.653235727,      -4.677104227,      -1.261579189
          0,           0,         132,      -6.811907513,      -4.684403048,      -4.710175516,      -1.292210047
          0,           0,         133,      -6.842546595,      -4.715089259,      -4.743109373,       -1.32290531
          0,           0,         134,       -6.87323483,      -4.745320524,      -4.775787438,      -1.353635069
          0,           0,         135,      -6.903936138,      -4.775125752,      -4.808082902,      -1.384362346
          0,           0,         136,       -6.93460684,       -4.80453492,      -4.839863624,      -1.415042786
          0,           0,         137,       -6.96519557,      -4.833577537,      -4.870996317,        -1.4456246
          0,           0,         138,      -6.995643509,      -4.862281333,       -4.90135187,      -1.476048834
          0,           0,         139,       -7.02588501,      -4.890671321,      -4.930811409,      -1.506250041
          0,           0,         140,      -7.055848671,      -4.918769086,      -4.959272759,      -1.536157392
          0,           0,         141,      -7.085458951,      -4.946592302,      -4.986656668,      -1.565696331
          0,           0,         142,      -7.114638272,      -4.974154783,      -5.012912138,      -1.594790712
          0,           0,         143,       -7.14330965,      -5.001466398,      -5.038020212,      -1.623365439
          0,           0,         144,      -7.171399774,      -5.028533653,      -5.061995491,      -1.651349518
          0,           0,         145,      -7.198842352,      -5.055360187,      -5.084885473,      -1.678679373
          0,           0,         146,      -7.225581531,      -5.081947424,      -5.106767555,      -1.705302155
          0,           0,         147,      -7.251575114,      -5.108295322,      -5.127744243,      -1.731178854
          0,           0,         148,      -7.276797237,      -5.134403275,       -5.14793722,      -1.756286826
          0,           0,         149,       -7.30124037,      -5.160270908,      -5.167480781,      -1.780621629
          0,           0,         150,      -7.324916268,      -5.185899108,      -5.186515572,      -1.804197816
          0,           0,         151,      -7.347855892,      -5.211290429,      -5.205183016,      -1.827048729
          0,           0,         152,      -7.370108275,      -5.236450153,      -5.223620669,      -1.849225257
          0,           0,         153,      -7.391738457,      -5.261386655,      -5.241958712,      -1.870793714
          0,           0,         154,      -7.412824682,      -5.286111733,      -5.260317623,      -1.891833041
          0,           0,         155,      -7.433455202,      -5.310641149,      -5.278806816,      -1.912431634
          0,           0,         156,      -7.453724909,      -5.334994381,      -5.297524017,      -1.932684051
          0,           0,         157,      -7.473732084,      -5.359194714,      -5.316555365,      -1.952687854
          0,           0,         158,      -7.493575492,      -5.383268835,      -5.335975869,      -1.972540798
          0,           0,         159,       -7.51335187,      -5.407246558,      -5.355850156,      -1.992338422
          0,           0,         160,      -7.533153963,      -5.431160181,      -5.376233352,      -2.012172166
          0,           0,         161,       -7.55306901,      -5.455044081,      -5.397172057,      -2.032127946
          0,           0,         162,      -7.573177756,      -5.478933858,      -5.418705226,        -2.0522852
          0,           0,         163,      -7.593553845,      -5.502865745,      -5.440865058,       -2.07271635
          0,           0,         164,      -7.614263598,      -5.526876023,      -5.463677719,      -2.093486578
          0,           0,         165,      -7.635366055,      -5.551000121,      -5.487164038,      -2.114653888
          0,           0,         166,      -7.656913208,      -5.575272311,      -5.511340051,      -2.136269356
          0,           0,         167,      -7.678950373,      -5.599725076,      -5.536217396,      -2.158377484
          0,           0,         168,      -7.701516542,      -5.624388694,      -5.561803645,      -2.181016559
          0,           0,         169,      -7.724644776,      -5.649290799,      -5.588102414,      -2.204219033
          0,           0,         170,      -7.748362491,      -5.674456114,       -5.61511338,      -2.228011797
          0,           0,         171,      -7.772691773,      -5.699906165,      -5.642832144,      -2.252416474
          0,           0,         172,      -7.797649586,      -5.725658838,      -5.671249956,      -2.277449625
          0,           0,         173,      -7.823247997,      -5.751728387,      -5.700353327,      -2.303122929
          0,           0,         174,        -7.8494943,      -5.778125298,      -5.730123459,      -2.329443332
          0,           0,         175,      -7.876391083,       -5.80485605,      -5.760535629,      -2.356413058
          0,           0,         176,      -7.903936202,      -5.831922895,      -5.791558368,      -2.384029592
          0,           0,         177,      -7.932122636,      -5.859323589,      -5.823152486,      -2.412285503
          0,           0,         178,      -7.960938222,       -5.88705118,      -5.855270002,      -2.441168179
          0,           0,         179,      -7.990365176,      -5.915093619,      -5.887852872,      -2.470659325
          0,           0,         180,      -8.020379579,      -5.943433812,       -5.92083175,      -2.500734438
